,se002,se003,se005,se009,q056,q098,q131,q127,q027,complicated,age,voted
6858,2.0,3.0,7.0,2.0,3.0,3.0,4.0,1.0,1.0,Strongly agree,25-29,No
6859,2.0,2.0,7.0,2.0,1.0,3.0,2.0,2.0,,Somewhat agree,20-24,No
6860,2.0,3.0,7.0,2.0,1.0,3.0,3.0,3.0,1.0,Somewhat disagree,25-29,No
6861,2.0,2.0,7.0,1.0,2.0,3.0,3.0,2.0,1.0,Somewhat agree,20-24,No
6862,2.0,3.0,8.0,1.0,2.0,3.0,2.0,2.0,1.0,Somewhat agree,25-29,No
6863,2.0,3.0,8.0,2.0,1.0,2.0,2.0,2.0,1.0,Somewhat agree,25-29,No
6864,2.0,3.0,7.0,3.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,25-29,Yes
6865,2.0,3.0,8.0,3.0,2.0,4.0,2.0,2.0,2.0,Somewhat agree,25-29,Yes
6866,2.0,2.0,8.0,,3.0,2.0,3.0,3.0,,Somewhat disagree,20-24,No
6867,2.0,4.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,Somewhat agree,30-34,Yes
6868,2.0,4.0,7.0,2.0,3.0,3.0,2.0,2.0,2.0,Somewhat agree,30-34,Yes
6869,2.0,5.0,7.0,2.0,3.0,3.0,3.0,2.0,2.0,Somewhat agree,35-39,Yes
6870,2.0,5.0,7.0,1.0,2.0,2.0,3.0,2.0,2.0,Somewhat agree,35-39,Yes
6871,2.0,5.0,8.0,3.0,2.0,2.0,3.0,2.0,2.0,Somewhat agree,35-39,Yes
6872,2.0,4.0,9.0,,3.0,4.0,2.0,2.0,2.0,Somewhat agree,30-34,Yes
6873,2.0,5.0,7.0,,3.0,3.0,3.0,2.0,2.0,Somewhat agree,35-39,Yes
6874,2.0,4.0,7.0,,2.0,3.0,4.0,2.0,1.0,Somewhat agree,30-34,No
6875,2.0,4.0,7.0,2.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,30-34,Yes
6876,2.0,5.0,9.0,,4.0,1.0,3.0,2.0,1.0,Somewhat agree,35-39,No
6877,2.0,6.0,7.0,2.0,3.0,3.0,1.0,2.0,2.0,Somewhat agree,40-44,Yes
6878,2.0,7.0,7.0,,1.0,2.0,4.0,3.0,2.0,Somewhat disagree,45-49,Yes
6879,2.0,6.0,7.0,2.0,3.0,3.0,2.0,2.0,2.0,Somewhat agree,40-44,Yes
6880,2.0,6.0,7.0,3.0,2.0,2.0,3.0,3.0,2.0,Somewhat disagree,40-44,Yes
6881,2.0,6.0,7.0,2.0,3.0,3.0,2.0,4.0,2.0,Strongly disagree,40-44,Yes
6882,2.0,6.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,40-44,Yes
6883,2.0,7.0,7.0,,4.0,1.0,4.0,3.0,2.0,Somewhat disagree,45-49,Yes
6884,2.0,7.0,5.0,,3.0,3.0,2.0,2.0,2.0,Somewhat agree,45-49,Yes
6885,2.0,6.0,7.0,,3.0,3.0,2.0,2.0,1.0,Somewhat agree,40-44,No
6886,2.0,8.0,7.0,,3.0,2.0,3.0,3.0,2.0,Somewhat disagree,50-54,Yes
6887,2.0,8.0,7.0,1.0,3.0,2.0,3.0,3.0,2.0,Somewhat disagree,50-54,Yes
6888,2.0,8.0,9.0,2.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,50-54,Yes
6889,2.0,8.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,Somewhat agree,50-54,Yes
6890,2.0,10.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,Strongly agree,60-70,Yes
