,country,q127,q098,q130,q106,q131,q005,q006,q111,name
228,4.0,2.0,3.0,,4.0,2.0,4.0,4.0,5.0,Korea
229,4.0,2.0,3.0,3.0,,2.0,5.0,4.0,5.0,Korea
230,4.0,,4.0,2.0,4.0,,4.0,4.0,4.0,Korea
231,4.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,Korea
232,4.0,,4.0,2.0,,,3.0,3.0,4.0,Korea
233,4.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,Korea
234,4.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,Korea
235,4.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,5.0,Korea
236,4.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,5.0,Korea
237,4.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,Korea
238,4.0,,,,4.0,,4.0,4.0,4.0,Korea
239,4.0,,3.0,,2.0,2.0,4.0,,5.0,Korea
240,4.0,,,2.0,,,3.0,,5.0,Korea
241,4.0,,4.0,2.0,4.0,2.0,5.0,4.0,5.0,Korea
242,4.0,,4.0,2.0,4.0,2.0,4.0,5.0,4.0,Korea
243,4.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,5.0,Korea
244,4.0,,3.0,2.0,3.0,2.0,2.0,,4.0,Korea
245,4.0,,4.0,,4.0,2.0,5.0,5.0,5.0,Korea
246,4.0,2.0,4.0,2.0,5.0,2.0,4.0,5.0,5.0,Korea
247,4.0,2.0,4.0,2.0,4.0,2.0,3.0,4.0,5.0,Korea
248,4.0,,4.0,2.0,,2.0,4.0,4.0,5.0,Korea
249,4.0,3.0,4.0,2.0,2.0,2.0,5.0,3.0,5.0,Korea
250,4.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,5.0,Korea
251,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0,Korea
252,4.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,5.0,Korea
253,4.0,2.0,3.0,2.0,4.0,2.0,4.0,5.0,5.0,Korea
254,4.0,2.0,3.0,2.0,4.0,2.0,5.0,4.0,5.0,Korea
255,4.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,5.0,Korea
256,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,Korea
257,4.0,3.0,4.0,2.0,4.0,2.0,5.0,5.0,5.0,Korea
258,4.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,Korea
259,4.0,2.0,4.0,2.0,4.0,2.0,5.0,5.0,5.0,Korea
260,4.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,Korea
261,4.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,Korea
262,4.0,2.0,3.0,2.0,5.0,2.0,5.0,4.0,5.0,Korea
263,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,Korea
264,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,Korea
265,4.0,2.0,1.0,4.0,3.0,3.0,2.0,3.0,4.0,Korea
266,4.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,5.0,Korea
267,4.0,2.0,2.0,2.0,2.0,2.0,4.0,,4.0,Korea
268,4.0,2.0,3.0,2.0,4.0,2.0,2.0,,5.0,Korea
269,4.0,2.0,3.0,4.0,4.0,2.0,4.0,,4.0,Korea
270,4.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,4.0,Korea
271,4.0,,2.0,,2.0,3.0,1.0,,,Korea
272,4.0,2.0,3.0,2.0,4.0,2.0,3.0,,4.0,Korea
273,4.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,Korea
274,4.0,3.0,,3.0,,3.0,4.0,3.0,5.0,Korea
275,4.0,2.0,3.0,3.0,,3.0,3.0,,4.0,Korea
276,4.0,2.0,2.0,2.0,4.0,2.0,5.0,4.0,5.0,Korea
277,4.0,2.0,3.0,2.0,,2.0,4.0,,4.0,Korea
278,4.0,2.0,3.0,2.0,4.0,,4.0,,5.0,Korea
279,4.0,2.0,2.0,2.0,,2.0,3.0,,4.0,Korea
280,4.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,Korea
281,4.0,2.0,1.0,4.0,1.0,,4.0,,4.0,Korea
282,4.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,5.0,Korea
283,4.0,2.0,2.0,2.0,3.0,3.0,3.0,,4.0,Korea
284,4.0,,2.0,,2.0,2.0,4.0,4.0,5.0,Korea
285,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,Korea
286,4.0,,3.0,3.0,2.0,3.0,2.0,,2.0,Korea
287,4.0,2.0,3.0,2.0,4.0,2.0,2.0,,4.0,Korea
288,4.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,Korea
289,4.0,,,,,2.0,4.0,4.0,5.0,Korea
290,4.0,,,2.0,5.0,,2.0,4.0,5.0,Korea
291,4.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,Korea
292,4.0,,4.0,2.0,4.0,2.0,4.0,5.0,4.0,Korea
293,4.0,2.0,,2.0,4.0,2.0,4.0,5.0,4.0,Korea
294,4.0,,3.0,2.0,4.0,3.0,1.0,1.0,5.0,Korea
295,4.0,2.0,,2.0,,2.0,4.0,4.0,5.0,Korea
296,4.0,,,2.0,,,4.0,5.0,,Korea
297,4.0,2.0,,1.0,3.0,2.0,4.0,4.0,5.0,Korea
298,4.0,,3.0,2.0,,2.0,4.0,4.0,5.0,Korea
299,4.0,2.0,3.0,1.0,4.0,2.0,3.0,4.0,5.0,Korea
300,4.0,2.0,3.0,2.0,,2.0,1.0,1.0,5.0,Korea
301,4.0,,4.0,,5.0,,4.0,4.0,5.0,Korea
302,4.0,3.0,1.0,2.0,3.0,,2.0,2.0,4.0,Korea
303,4.0,,,,4.0,2.0,5.0,4.0,4.0,Korea
304,4.0,,,,,,3.0,,,Korea
305,4.0,3.0,3.0,2.0,,2.0,5.0,5.0,5.0,Korea
306,4.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,Korea
307,4.0,2.0,2.0,3.0,1.0,2.0,3.0,,4.0,Korea
308,4.0,2.0,3.0,3.0,3.0,3.0,3.0,,4.0,Korea
309,4.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,5.0,Korea
310,4.0,3.0,3.0,2.0,5.0,1.0,5.0,5.0,5.0,Korea
311,4.0,,2.0,2.0,3.0,2.0,2.0,,4.0,Korea
312,4.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,Korea
313,4.0,3.0,1.0,3.0,3.0,3.0,1.0,4.0,4.0,Korea
314,4.0,2.0,3.0,2.0,4.0,2.0,2.0,,5.0,Korea
315,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,5.0,Korea
316,4.0,2.0,2.0,3.0,4.0,3.0,4.0,,5.0,Korea
317,4.0,,3.0,2.0,3.0,2.0,4.0,4.0,4.0,Korea
318,4.0,3.0,4.0,1.0,4.0,3.0,4.0,4.0,5.0,Korea
319,4.0,,3.0,2.0,3.0,2.0,2.0,,4.0,Korea
320,4.0,2.0,2.0,2.0,4.0,2.0,4.0,5.0,5.0,Korea
321,4.0,,4.0,2.0,4.0,1.0,5.0,,5.0,Korea
322,4.0,2.0,3.0,2.0,4.0,3.0,4.0,,5.0,Korea
323,4.0,2.0,3.0,2.0,4.0,2.0,4.0,,5.0,Korea
324,4.0,2.0,1.0,3.0,,,3.0,,4.0,Korea
325,4.0,,3.0,2.0,,,2.0,2.0,4.0,Korea
326,4.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,Korea
327,4.0,2.0,4.0,2.0,4.0,2.0,5.0,,5.0,Korea
328,4.0,2.0,3.0,2.0,,2.0,3.0,5.0,4.0,Korea
329,4.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,Korea
330,4.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,Korea
331,4.0,2.0,3.0,2.0,,2.0,4.0,4.0,5.0,Korea
332,4.0,,2.0,2.0,,2.0,4.0,4.0,4.0,Korea
333,4.0,2.0,,2.0,2.0,3.0,4.0,4.0,4.0,Korea
334,4.0,,3.0,2.0,3.0,,4.0,,4.0,Korea
335,4.0,,2.0,,3.0,3.0,1.0,4.0,2.0,Korea
336,4.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,Korea
337,4.0,1.0,3.0,3.0,4.0,2.0,4.0,,4.0,Korea
338,4.0,4.0,,1.0,4.0,1.0,4.0,4.0,3.0,Korea
339,4.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,Korea
340,4.0,,,,,2.0,1.0,1.0,2.0,Korea
341,4.0,2.0,3.0,2.0,,2.0,3.0,3.0,3.0,Korea
342,4.0,3.0,4.0,1.0,5.0,2.0,4.0,5.0,4.0,Korea
343,4.0,2.0,4.0,3.0,1.0,2.0,5.0,,5.0,Korea
344,4.0,2.0,2.0,2.0,5.0,2.0,3.0,,4.0,Korea
345,4.0,2.0,4.0,2.0,5.0,2.0,5.0,4.0,5.0,Korea
346,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,Korea
347,4.0,2.0,3.0,2.0,5.0,2.0,1.0,4.0,4.0,Korea
348,4.0,2.0,3.0,2.0,5.0,2.0,5.0,5.0,5.0,Korea
349,4.0,4.0,4.0,1.0,5.0,2.0,5.0,5.0,4.0,Korea
350,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,Korea
351,4.0,2.0,4.0,,5.0,2.0,5.0,5.0,5.0,Korea
352,4.0,3.0,4.0,2.0,5.0,2.0,5.0,5.0,5.0,Korea
